FIPS,State,County,Population,% Diabetic,# Primary Care Physicians,% Uninsured,Food Environment Index,% Obese,% Food Insecure,% Limited Access,Household Income,Graduation Rate,% Unemployed,Preventable Hosp. Rate
51735,Virginia,Poquoson City,12053,10.8,6,6.341212744,9.3,30.3,5.2,5.015118267,99089,94.7,3.489675044,2358
51740,Virginia,Portsmouth City,94572,12.6,49,10.18520887,6.8,37.2,19.6,3.93874836,48532,86.6,5.427365775,4490
51750,Virginia,Radford City,17658,7.8,12,8.86938096,6.3,30.5,20.7,7.132830069,40941,95.4,5.045262523,4211
51760,Virginia,Richmond City,227032,10.1,229,12.03227774,6.2,30.1,21,7.834600307,46073,76.9,4.364943219,4927
51770,Virginia,Roanoke City,99837,11.5,94,13.25636895,7,32.3,16.7,7.746249092,43135,89.7,4.218392682,4373
51775,Virginia,Salem City,25862,10.5,29,8.295336788,8,28.9,9.5,11.5886987,54989,94.3,3.827380491,4355
51790,Virginia,Staunton City,24528,11.3,14,9.534896313,8.3,29.6,12.7,1.50923141,51551,88.6,3.654625253,4047
51800,Virginia,Suffolk City,90237,12.5,87,8.82585231,7.7,34.4,14.1,5.730740422,68961,87.1,4.157086361,5193
51810,Virginia,Virginia Beach City,450435,9.1,338,8.601433919,8.7,28.6,9.9,2.614700869,72126,91.9,3.600965074,4165
51820,Virginia,Waynesboro City,22327,10.7,22,12.18449349,8.2,31.6,12.1,3.563505764,44008,87.7,4.079049844,4069
51830,Virginia,Williamsburg City,15031,9.2,1,12.09330144,7.5,27.1,15.7,3.953388158,53737,92.3,5.278592375,3613
51840,Virginia,Winchester City,27932,9.3,74,14.49684267,8.5,29.6,10.9,3.053573677,49588,92.9,3.617021277,5610
